Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	AL-01126	AL-01127N	AL-01127C	AL-01128N	AL-01128C	AL-01129N	AL-01129C	AL-01130N	AL-01130C	AL-01131N
sp|D3Z7H8|CILP2_MOUSE	D3Z7H8	CILP2_MOUSE	Cilp2	1162	Mus musculus OX=10090	Cartilage intermediate layer protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	26	26	26	18403517	18403517	18403517	11C(57.0214), 15K(229.1629), 15M(15.9949), 8S(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629)			1356297.7984	1605412.4572	1140557.6250	1617755.3414	1848438.6387	1424987.1389	1789750.7862	1726328.4627	1396601.3163	1430096.9024
sp|D3Z7P3-2|GLSK_MOUSE	D3Z7P3-2	GLSK_MOUSE	Gls	603	Mus musculus OX=10090	Isoform 2 of Glutaminase kidney isoform, mitochondrial 		1.0000	0.9990	16	2	16	25	3	25	8628380	1688322	8628380	10K(229.1629), 11C(57.0214), 12C(57.0214), 13K(229.1629), 13M(15.9949), 15K(229.1629), 18K(229.1629), 26K(229.1629), 2M(15.9949), 4C(57.0214), 4K(229.1629), 5C(57.0214), 5M(15.9949), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1629)			966250.5897	916981.9183	708534.4705	721893.7166	985912.9395	826803.3955	993943.2061	832387.7665	877718.3359	871091.8981
sp|E0CYV9|CD054_MOUSE	E0CYV9	CD054_MOUSE		1786	Mus musculus OX=10090	Uncharacterized protein C4orf54 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	27	26	27	38	37	38	12382014	12382014	12382014	10K(229.1629), 11K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 18K(229.1629), 21K(229.1629), 4K(229.1629), 5C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1629)			1803431.4656	2090230.9147	1576035.8257	1485655.9259	2103534.3452	1828019.1942	1670647.7169	1549536.1530	1583226.1083	1412243.5675
sp|E9PV24-2|FIBA_MOUSE	E9PV24-2	FIBA_MOUSE	Fga	557	Mus musculus OX=10090	Isoform 2 of Fibrinogen alpha chain 		1.0000	0.9990	16	0	16	41	0	41	77100254	     0	77100254	11K(229.1629), 12K(229.1629), 13K(229.1629), 1K(229.1629), 1M(15.9949), 20K(229.1629), 2S(229.1629), 3M(15.9949), 6M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)		sp|E9PV24|FIBA_MOUSE	3091934.1230	4083876.4070	2726781.4118	2508110.8345	4215279.5771	3202332.6006	3155152.4198	3106940.9917	2426255.3720	2261089.3856
sp|E9PVA8|GCN1_MOUSE	E9PVA8	GCN1_MOUSE	Gcn1	2671	Mus musculus OX=10090	eIF-2-alpha kinase activator GCN1 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	21	21	21	4998119	4998119	4998119	10K(229.1629), 11K(229.1629), 12K(229.1629), 15K(229.1629), 16K(229.1629), 2K(229.1629), 3S(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1629)			421142.2783	459322.8670	350913.3986	332184.8359	505002.8604	437488.7056	450895.2989	366348.1584	373744.4788	403603.5019
sp|E9PZQ0|RYR1_MOUSE	E9PZQ0	RYR1_MOUSE	Ryr1	5035	Mus musculus OX=10090	Ryanodine receptor 1 	1:Experimental evidence at protein level	1.0000	0.9990	281	259	281	1523	1426	1523	372994344	372994344	372994344	10C(57.0214), 10K(229.1629), 10M(15.9949), 10S(229.1629), 11C(57.0214), 11K(229.1629), 11M(15.9949), 11S(229.1629), 12C(57.0214), 12K(229.1629), 12M(15.9949), 13C(57.0214), 13K(229.1629), 13M(15.9949), 13S(229.1629), 14C(57.0214), 14K(229.1629), 14M(15.9949), 14S(229.1629), 15K(229.1629), 15M(15.9949), 15S(229.1629), 16C(57.0214), 16K(229.1629), 16M(15.9949), 16S(229.1629), 17C(57.0214), 17K(229.1629), 18C(57.0214), 18K(229.1629), 18M(15.9949), 18S(229.1629), 19C(57.0214), 19K(229.1629), 19M(15.9949), 19S(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 1M(15.9949), 20C(57.0214), 20K(229.1629), 21C(57.0214), 21K(229.1629), 21M(15.9949), 22C(57.0214), 22K(229.1629), 22M(15.9949), 22S(229.1629), 23K(229.1629), 24C(57.0214), 24K(229.1629), 24M(15.9949), 25K(229.1629), 25M(15.9949), 25S(229.1629), 26K(229.1629), 26M(15.9949), 27K(229.1629), 27S(229.1629), 28K(229.1629), 29S(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 2S(229.1629), 30K(229.1629), 30S(229.1629), 31K(229.1629), 32K(229.1629), 33K(229.1629), 38K(229.1629), 3C(57.0214), 3K(229.1629), 3M(15.9949), 3S(229.1629), 4C(57.0214), 4K(229.1629), 4M(15.9949), 4S(229.1629), 5C(57.0214), 5K(229.1629), 5M(15.9949), 5S(229.1629), 6C(57.0214), 6K(229.1629), 6M(15.9949), 6S(229.1629), 7C(57.0214), 7K(229.1629), 7M(15.9949), 7S(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), 8S(229.1629), 9C(57.0214), 9K(229.1629), 9M(15.9949), 9S(229.1629), N-term(229.1629), N-term(42.0106)			127440268.1316	146587000.7587	106043546.8073	126492795.3518	169880711.4099	148994533.3258	133245113.5940	100334980.4537	128783472.1407	94395964.9615
sp|E9Q3C1|C2CD2_MOUSE	E9Q3C1	C2CD2_MOUSE	C2cd2	696	Mus musculus OX=10090	C2 domain-containing protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	9	8	9	4145703	4145703	4145703	17K(229.1629), 1K(229.1629), 7K(229.1629), 7M(15.9949), N-term(229.1629)			344035.8869	461465.0572	302644.4202	270504.9949	425605.6426	342428.2051	297156.5676	248510.2792	285015.1418	211991.7993
sp|E9Q4Z2|ACACB_MOUSE	E9Q4Z2	ACACB_MOUSE	Acacb	2448	Mus musculus OX=10090	Acetyl-CoA carboxylase 2 	1:Experimental evidence at protein level	1.0000	0.9990	31	25	31	51	39	51	22327333	22327333	22327333	10S(229.1629), 11K(229.1629), 12K(229.1629), 13C(57.0214), 13K(229.1629), 14M(15.9949), 15C(57.0214), 15K(229.1629), 16K(229.1629), 17S(229.1629), 1K(229.1629), 2C(57.0214), 2K(229.1629), 2S(229.1629), 4M(15.9949), 6M(15.9949), 7C(57.0214), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1629)			1609945.3906	1606736.8431	1296258.0551	1396645.4070	2007954.3750	1725276.0796	1944488.4133	1626952.0614	1651197.3587	1752561.2950
sp|E9Q735|UBE4A_MOUSE	E9Q735	UBE4A_MOUSE	Ube4a	1028	Mus musculus OX=10090	Ubiquitin conjugation factor E4 A 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	11375865	11375865	11375865	12K(229.1629), 14K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629)			112687.2970	106083.6470	97149.4096	131408.0129	199231.4521	173256.3250	133744.8086	108143.3745	148653.7728	113956.2698
sp|E9Q912-2|GDS1_MOUSE	E9Q912-2	GDS1_MOUSE	Rap1gds1	606	Mus musculus OX=10090	Isoform 2 of Rap1 GTPase-GDP dissociation stimulator 1 		1.0000	0.9990	10	0	10	16	0	16	5225531	     0	5225531	10K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 17K(229.1629), 19K(229.1629), 20C(57.0214), 23K(229.1629), 2M(15.9949), 3C(57.0214), 4S(229.1629), 9K(229.1629), N-term(229.1629)		sp|E9Q912-3|GDS1_MOUSE, sp|E9Q912|GDS1_MOUSE	457802.7114	338927.9479	343404.1688	389942.3929	565067.4326	418685.0434	458877.8167	389208.3221	418915.9390	426735.4030
sp|E9Q9K5|TRDN_MOUSE	E9Q9K5	TRDN_MOUSE	Trdn	693	Mus musculus OX=10090	Triadin 	1:Experimental evidence at protein level	1.0000	0.9990	50	37	50	229	167	229	1662900448	1130411936	1662900448	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 16S(229.1629), 19K(229.1629), 19M(15.9949), 1K(229.1629), 22C(57.0214), 25K(229.1629), 28K(229.1629), 2K(229.1629), 2M(15.9949), 39K(229.1629), 3K(229.1629), 4K(229.1629), 5K(229.1629), 5M(15.9949), 6C(57.0214), 6K(229.1629), 6S(229.1629), 7K(229.1629), 7S(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			75664261.7345	107580793.7519	68985680.3837	52730696.3169	86922000.9756	85376471.6941	77515073.9809	54180905.7488	69885880.0232	48459409.2418
sp|E9QA62|LMOD3_MOUSE	E9QA62	LMOD3_MOUSE	Lmod3	571	Mus musculus OX=10090	Leiomodin-3 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	15	15	15	39820405	39820405	39820405	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15K(229.1629), 3K(229.1629), 5K(229.1629), 6M(15.9949), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1629)			1299175.2939	1089009.6072	1024223.8314	693035.3669	1626044.9917	1241151.8834	920699.3944	812659.1874	748849.9033	741889.7285
sp|F6ZDS4|TPR_MOUSE	F6ZDS4	TPR_MOUSE	Tpr	2431	Mus musculus OX=10090	Nucleoprotein TPR 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	11	10	11	6455384	3695400	6455384	11C(57.0214), 11K(229.1629), 13K(229.1629), 6M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)			502481.2144	573413.0306	410688.8947	381437.7386	597055.0537	436353.2429	444239.7258	378984.4952	373764.6006	338712.8029
sp|G3X9K3|BIG1_MOUSE	G3X9K3	BIG1_MOUSE	Arfgef1	1846	Mus musculus OX=10090	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 	1:Experimental evidence at protein level	1.0000	0.9986	3	1	3	3	1	3	1631479	298469	1631479	12K(229.1629), 4C(57.0214), 9C(57.0214), N-term(229.1629)			89019.2698	70845.4356	66364.7434	122019.6331	157116.6523	124683.4481	95189.5138	63021.6150	109359.6107	55340.0956
sp|G5E829|AT2B1_MOUSE	G5E829	AT2B1_MOUSE	Atp2b1	1220	Mus musculus OX=10090	Plasma membrane calcium-transporting ATPase 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	4	10	13	5	13	16820706	8212130	16820706	10K(229.1629), 10S(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 17K(229.1629), 18K(229.1629), 1K(229.1629), 2S(229.1629), 5C(57.0214), 7K(229.1629), 8M(15.9949), N-term(229.1629)			691742.0033	721281.8058	546025.0462	605994.6752	877806.3164	744558.3494	804599.1276	649110.5725	682207.8676	631986.4565
sp|G5E8K5-3|ANK3_MOUSE	G5E8K5-3	ANK3_MOUSE	Ank3	1922	Mus musculus OX=10090	Isoform 3 of Ankyrin-3 		1.0000	0.9990	37	0	37	50	0	50	32163547	     0	32163547	10C(57.0214), 10K(229.1629), 11K(229.1629), 11S(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 15M(15.9949), 16C(57.0214), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 25K(229.1629), 2K(229.1629), 2M(15.9949), 34K(229.1629), 3C(57.0214), 4M(15.9949), 5K(229.1629), 6S(229.1629), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629)		sp|G5E8K5|ANK3_MOUSE	2202745.5103	2467525.1014	1827480.2267	1782041.7268	2824270.8147	2417544.8649	2214477.1840	1937468.0639	1902411.5345	1845837.3294
sp|O08528|HXK2_MOUSE	O08528	HXK2_MOUSE	Hk2	917	Mus musculus OX=10090	Hexokinase-2 	1:Experimental evidence at protein level	1.0000	0.9990	56	50	56	204	176	204	220657940	220657940	220657940	10C(57.0214), 10K(229.1629), 10M(15.9949), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13C(57.0214), 13K(229.1629), 14C(57.0214), 14K(229.1629), 15C(57.0214), 15K(229.1629), 15M(15.9949), 16K(229.1629), 18M(15.9949), 1C(57.0214), 1C(57.0214), 1K(229.1629), 1M(15.9949), 20K(229.1629), 21K(229.1629), 26K(229.1629), 2C(57.0214), 2K(229.1629), 2S(229.1629), 3K(229.1629), 3M(15.9949), 3S(229.1629), 4C(57.0214), 4M(15.9949), 4S(229.1629), 5C(57.0214), 5K(229.1629), 5M(15.9949), 6C(57.0214), 6M(15.9949), 6S(229.1629), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 8M(15.9949), 8S(229.1629), 9C(57.0214), 9K(229.1629), 9M(15.9949), 9S(229.1629), N-term(229.1629), N-term(42.0106)			28255209.4640	25192934.0342	19639299.2723	19340202.9658	26755327.0605	23890393.1740	21018184.6725	18719323.9412	17183633.8424	17947295.4879
sp|O08529|CAN2_MOUSE	O08529	CAN2_MOUSE	Capn2	700	Mus musculus OX=10090	Calpain-2 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	25	25	25	55	55	55	38461882	38461882	38461882	10K(229.1629), 11C(57.0214), 11K(229.1629), 13C(57.0214), 13K(229.1629), 13S(229.1629), 15K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 1K(229.1629), 22K(229.1629), 23K(229.1629), 24C(57.0214), 25K(229.1629), 29K(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 3C(57.0214), 4C(57.0214), 5C(57.0214), 5M(15.9949), 6C(57.0214), 8K(229.1629), 9C(57.0214), 9S(229.1629), N-term(229.1629)			3479302.7576	3353497.7857	2693142.8354	2991805.0240	4044057.0464	3343721.2682	3489767.5512	2836465.8137	3031793.4287	2896987.9753
sp|O08532|CA2D1_MOUSE	O08532	CA2D1_MOUSE	Cacna2d1	1103	Mus musculus OX=10090	Voltage-dependent calcium channel subunit alpha-2/delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	55	2	55	225	6	225	191869340	14958142	191869340	10C(57.0214), 10K(229.1629), 10M(15.9949), 11K(229.1629), 11M(15.9949), 11S(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 14C(57.0214), 14K(229.1629), 14M(15.9949), 15C(57.0214), 15K(229.1629), 17M(15.9949), 18K(229.1629), 18M(15.9949), 19K(229.1629), 19M(15.9949), 1K(229.1629), 1M(15.9949), 20K(229.1629), 21C(57.0214), 24K(229.1629), 27K(229.1629), 29S(229.1629), 2K(229.1629), 2M(15.9949), 30C(57.0214), 3C(57.0214), 3K(229.1629), 3M(15.9949), 4C(57.0214), 4K(229.1629), 5C(57.0214), 5M(15.9949), 5S(229.1629), 6K(229.1629), 6M(15.9949), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1629)			22109690.5711	27962663.7563	19121752.1699	22267821.9390	29268819.3452	25775683.3358	23521807.8684	18739473.6124	22814951.0464	16920166.5153
sp|O08539|BIN1_MOUSE	O08539	BIN1_MOUSE	Bin1	588	Mus musculus OX=10090	Myc box-dependent-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	28	1	28	199	1	199	355547632	1337897	355547632	10K(229.1629), 10M(15.9949), 10S(229.1629), 12C(57.0214), 12S(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 18K(229.1629), 19K(229.1629), 1K(229.1629), 20K(229.1629), 21K(229.1629), 22K(229.1629), 22M(15.9949), 25K(229.1629), 2M(15.9949), 2S(229.1629), 4C(57.0214), 4S(229.1629), 5C(57.0214), 5K(229.1629), 5M(15.9949), 5S(229.1629), 6S(229.1629), 7C(57.0214), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9M(15.9949), 9S(229.1629), N-term(229.1629)			38130298.1994	37056466.3681	29689880.8552	31514942.9047	43673994.7686	35991946.4548	34082815.1455	25524633.4122	28864981.7817	22808061.5780
sp|O08547|SC22B_MOUSE	O08547	SC22B_MOUSE	Sec22b	215	Mus musculus OX=10090	Vesicle-trafficking protein SEC22b 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	19	19	19	23482107	23482107	23482107	10K(229.1629), 11M(15.9949), 1K(229.1629), 20K(229.1629), 2M(15.9949), 5M(15.9949), 9K(229.1629), N-term(229.1629)			1362051.4064	1730115.2773	1174423.8262	1242682.4548	1575212.9707	1389001.2829	1359968.8895	1048615.6661	1250655.8154	1070438.1279
sp|O08553|DPYL2_MOUSE	O08553	DPYL2_MOUSE	Dpysl2	572	Mus musculus OX=10090	Dihydropyrimidinase-related protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	25	19	25	60	46	60	23463482	23463482	23463482	10C(57.0214), 11K(229.1629), 13K(229.1629), 14K(229.1629), 14M(15.9949), 14S(229.1629), 15K(229.1629), 15S(229.1629), 16C(57.0214), 16K(229.1629), 19K(229.1629), 1K(229.1629), 1M(15.9949), 20K(229.1629), 28K(229.1629), 2C(57.0214), 2S(229.1629), 3C(57.0214), 3M(15.9949), 4S(229.1629), 6M(15.9949), 6S(229.1629), 7K(229.1629), 8C(57.0214), 8M(15.9949), 9K(229.1629), N-term(229.1629)			4891695.0014	4146290.4722	3632646.9013	4027428.2556	5386762.1895	4557010.3400	4516381.0239	3617003.8389	3551232.5083	3450593.4350
sp|O08579|EMD_MOUSE	O08579	EMD_MOUSE	Emd	259	Mus musculus OX=10090	Emerin 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	3040277	3040277	3040277	10K(229.1629), 10M(15.9949), 12K(229.1629), 1K(229.1629), N-term(229.1629)			159111.5763	175705.9696	133606.3887	153358.9521	185607.4922	180529.8104	202230.7266	170375.7770	154575.4037	142970.8974
sp|O08582|GTPB1_MOUSE	O08582	GTPB1_MOUSE	Gtpbp1	668	Mus musculus OX=10090	GTP-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	1477833	1477833	1477833	12K(229.1629), N-term(229.1629)			189205.3470	193059.5070	142291.1235	138714.9895	173054.6543	181876.5783	141864.0864	121027.8297	128708.4600	128508.1253
sp|O08585|CLCA_MOUSE	O08585	CLCA_MOUSE	Clta	235	Mus musculus OX=10090	Clathrin light chain A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	7844883	7844883	7844883	10K(229.1629), 7K(229.1629), N-term(229.1629)			655461.4210	644446.0413	463276.0940	447563.9125	687841.7871	492601.6399	457351.0037	377098.8060	365426.5488	307905.4772
sp|O08600|NUCG_MOUSE	O08600	NUCG_MOUSE	Endog	294	Mus musculus OX=10090	Endonuclease G, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	20	20	20	13461859	13461859	13461859	10S(229.1629), 11K(229.1629), 2M(15.9949), 3C(57.0214), 4M(15.9949), 8C(57.0214), N-term(229.1629)			893152.1225	865226.8179	761600.4227	810743.2466	1076727.2783	1027084.6391	1040786.1023	826540.5272	893276.1473	884106.7478
sp|O08605|MKNK1_MOUSE	O08605	MKNK1_MOUSE	Mknk1	427	Mus musculus OX=10090	MAP kinase-interacting serine/threonine-protein kinase 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	2378050	2378050	2378050	11K(229.1629), 12K(229.1629), 14K(229.1629), 2C(57.0214), 3K(229.1629), 8C(57.0214), 9C(57.0214), N-term(229.1629)			125588.4149	137249.3344	109066.0491	123076.8120	153055.7998	123020.7353	170702.4402	140742.3833	148692.2443	138674.4046
sp|O08638|MYH11_MOUSE	O08638	MYH11_MOUSE	Myh11	1972	Mus musculus OX=10090	Myosin-11 	1:Experimental evidence at protein level	1.0000	0.9990	66	2	66	114	2	114	10600030336	1535062	260798864	10K(229.1629), 10S(229.1629), 11K(229.1629), 11M(15.9949), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 1M(15.9949), 24K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 3M(15.9949), 3S(229.1629), 5M(15.9949), 6K(229.1629), 6M(15.9949), 7K(229.1629), 7M(15.9949), 7S(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629)			8344519.9713	9827301.3983	7663570.8249	7371718.9989	9643564.6716	10381591.5053	10879287.3016	7628195.7601	7486375.5249	7597780.8639
sp|O08663|MAP2_MOUSE	O08663	MAP2_MOUSE	Metap2	478	Mus musculus OX=10090	Methionine aminopeptidase 2 	1:Experimental evidence at protein level	1.0000	0.9990	19	19	19	43	43	43	20294662	20294662	20294662	10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 13M(15.9949), 14K(229.1629), 15C(57.0214), 16C(57.0214), 17C(57.0214), 17K(229.1629), 18K(229.1629), 19K(229.1629), 20K(229.1629), 21K(229.1629), 2S(229.1629), 3C(57.0214), 4C(57.0214), 5K(229.1629), 7M(15.9949), 8K(229.1629), 8S(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629)			1792233.3583	1825433.0591	1438153.9050	1466976.2075	2147591.6392	1909218.7749	1776582.0576	1499141.1763	1680849.8625	1409476.5625
sp|O08677-2|KNG1_MOUSE	O08677-2	KNG1_MOUSE	Kng1	432	Mus musculus OX=10090	Isoform LMW of Kininogen-1 		1.0000	0.9990	23	3	23	75	7	75	75891395	48993516	75891395	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 13S(229.1629), 14M(15.9949), 16K(229.1629), 16S(229.1629), 19C(57.0214), 1C(57.0214), 1C(57.0214), 1K(229.1629), 20K(229.1629), 21C(57.0214), 21K(229.1629), 24K(229.1629), 3S(229.1629), 5C(57.0214), 5M(15.9949), 5S(229.1629), 6M(15.9949), 6S(229.1629), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9M(15.9949), N-term(229.1629)			6822423.9964	7965546.4245	5995206.7942	5674305.9394	9787727.3672	7112110.6639	6267752.8520	5735040.4572	5455354.8554	4216271.8873
sp|O08677-3|KNG1_MOUSE	O08677-3	KNG1_MOUSE	Kng1	480	Mus musculus OX=10090	Isoform 3 of Kininogen-1 		1.0000	0.9990	1	0	1	2	0	2	44638451	     0	1273788	12K(229.1629), N-term(229.1629)		sp|O08677|KNG1_MOUSE	63337.0608	79023.2646	60193.9155	58483.2119	71892.2051	55817.5495	67866.1947	58547.1974	62262.7319	61422.3326
sp|O08689|GDF8_MOUSE	O08689	GDF8_MOUSE	Mstn	376	Mus musculus OX=10090	Growth/differentiation factor 8 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	4	3	4	1679559	1204670	1679559	11K(229.1629), 28K(229.1629), 6C(57.0214), 7C(57.0214), 7K(229.1629), N-term(229.1629)			217759.4643	187509.1367	160545.9953	177377.9857	247468.3926	198298.0706	272012.3985	233315.7370	237703.3567	212583.7078
sp|O08692|NGP_MOUSE	O08692	NGP_MOUSE	Ngp	167	Mus musculus OX=10090	Neutrophilic granule protein 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	33	33	33	24527674	24527674	24527674	11K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 2C(57.0214), 2K(229.1629), 4C(57.0214), 6C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629)			1612667.0991	1323252.6648	1641313.3761	2099429.5804	15290956.0430	1157054.5421	2697883.5264	1877436.5964	876187.1622	1731184.1296
sp|O08709|PRDX6_MOUSE	O08709	PRDX6_MOUSE	Prdx6	224	Mus musculus OX=10090	Peroxiredoxin-6 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	102	102	102	118674356	118674356	118674356	10K(229.1629), 10M(15.9949), 11K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 17K(229.1629), 1K(229.1629), 20K(229.1629), 22K(229.1629), 2S(229.1629), 4S(229.1629), 6C(57.0214), 6M(15.9949), 7K(229.1629), 8M(15.9949), 8S(229.1629), 9K(229.1629), N-term(229.1629)			8757313.8145	8597796.8830	7872966.7072	8249426.0040	11144756.7385	9920556.4020	9291206.9040	7172465.7456	7978413.1346	7074547.7552
sp|O08715-2|AKAP1_MOUSE	O08715-2	AKAP1_MOUSE	Akap1	544	Mus musculus OX=10090	Isoform 1 of A-kinase anchor protein 1, mitochondrial 		1.0000	0.9990	8	0	8	11	0	11	3404301	     0	3404301	11K(229.1629), 14K(229.1629), 19K(229.1629), 1C(57.0214), 28K(229.1629), 4K(229.1629), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9S(229.1629), N-term(229.1629)		sp|O08715-3|AKAP1_MOUSE, sp|O08715-4|AKAP1_MOUSE, sp|O08715-5|AKAP1_MOUSE, sp|O08715-6|AKAP1_MOUSE, sp|O08715|AKAP1_MOUSE	457626.2672	460258.8064	422407.1318	403610.5309	540534.8467	546184.6635	558829.5407	457672.7577	464313.9592	467728.6847
sp|O08749|DLDH_MOUSE	O08749	DLDH_MOUSE	Dld	509	Mus musculus OX=10090	Dihydrolipoyl dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	28	28	28	236	236	236	422799984	422799984	422799984	10K(229.1629), 10M(15.9949), 11K(229.1629), 11M(15.9949), 12C(57.0214), 12K(229.1629), 13C(57.0214), 13K(229.1629), 14M(15.9949), 15K(229.1629), 15M(15.9949), 16K(229.1629), 17K(229.1629), 19K(229.1629), 1K(229.1629), 21M(15.9949), 24S(229.1629), 25K(229.1629), 26K(229.1629), 27S(229.1629), 28C(57.0214), 2C(57.0214), 2K(229.1629), 3K(229.1629), 4K(229.1629), 4S(229.1629), 5K(229.1629), 6C(57.0214), 6K(229.1629), 6S(229.1629), 7K(229.1629), 8C(57.0214), 8M(15.9949), 9K(229.1629), 9S(229.1629), N-term(229.1629)			33894193.2771	35114510.9217	30778133.9711	25745331.6982	35417937.1301	33688792.4092	25636328.5912	21110365.3683	19032355.0915	18930764.8131
sp|O08756|HCD2_MOUSE	O08756	HCD2_MOUSE	Hsd17b10	261	Mus musculus OX=10090	3-hydroxyacyl-CoA dehydrogenase type-2 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	50	50	50	58863392	58863392	58863392	10K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 1K(229.1629), 20K(229.1629), 25K(229.1629), 5C(57.0214), 6C(57.0214), 6M(15.9949), 7C(57.0214), N-term(229.1629)			3351156.0085	2256309.6987	2711623.1119	2875430.5184	3969049.0195	3693368.9939	3368739.2795	2463634.5799	2776423.4553	2597879.7823
sp|O08759-2|UBE3A_MOUSE	O08759-2	UBE3A_MOUSE	Ube3a	849	Mus musculus OX=10090	Isoform 2 of Ubiquitin-protein ligase E3A 		1.0000	0.9990	18	0	18	28	0	28	8219764	     0	8219764	10K(229.1629), 11K(229.1629), 13K(229.1629), 14K(229.1629), 19K(229.1629), 1M(15.9949), 3C(57.0214), 4K(229.1629), 4S(229.1629), 5K(229.1629), 7C(57.0214), 8C(57.0214), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1629)		sp|O08759|UBE3A_MOUSE	1125093.3198	1258518.1870	895338.9751	896531.5352	1397677.2429	1120641.1775	1131621.4315	1002826.1786	1128821.5123	872463.1931
